title,body,labels
"Open Graph & Twitter Cards","Sequence pages need better social metadata.

**Tasks:**
- Add og:image from artworkUrl
- Add og:type product
- Add og:price, og:priceCurrency
- Add Twitter Card type product
- Add canonical URLs","medium-priority,seo"
"TypeScript Type Safety","Type safety improvements needed.

**Tasks:**
- Add strict null checks for optional fields
- Create discriminated unions for category
- Create constants file for string literals
- Add type validation at module load","medium-priority,technical"
"Testing Framework Setup","No tests exist in the codebase.

**Tasks:**
- Install Vitest and testing-library/react
- Create data transformation tests
- Create component tests
- Target 60%+ coverage","medium-priority,technical,testing"
"Lighthouse CI Pipeline","No automated performance monitoring.

**Tasks:**
- Set up Lighthouse CI
- Set thresholds: Performance 90+, Accessibility 95+
- Track metrics over time","medium-priority,technical,performance"
"HTTP Caching Headers","No caching configured for static assets.

**Tasks:**
- Add cache headers for immutable assets
- Add cache headers for HTML pages
- Enable compression in Cloudflare","medium-priority,performance"
"FAQ Page","No dedicated FAQ page for common questions.

**Tasks:**
- Create comprehensive FAQ
- Cover licensing, compatibility, refunds
- Link from navbar and sequences page","medium-priority,content"
"Sequence Comparison Tool","No way to compare sequences side-by-side.

**Tasks:**
- Allow comparing 2-3 sequences
- Show price, duration, difficulty, props, video","medium-priority,feature"
"Display Specifications Page","No detailed hardware/setup information.

**Tasks:**
- Create About the Display page
- Add hardware specs, xLights version, controllers
- Consider compatibility checker","medium-priority,content"
"Blog/Tutorial Content Hub","No blog or tutorial content for SEO.

**Tasks:**
- Create blog section
- Write Choosing Your First Sequence
- Write How to Remap Sequences
- Write xLights Setup for Beginners","medium-priority,content,seo"
"Customer Reviews & Ratings","No review/rating capability.

**Tasks:**
- Add 5-star rating system
- Show average rating on listings
- Collect reviews post-purchase","medium-priority,feature"
"Micro-interactions & Polish","Missing subtle animations and feedback.

**Tasks:**
- Add fade-in for lazy images
- Button press feedback
- Hover animations for links
- Scroll indicator fade out","low-priority,ux"
"Footer Optimization","Footer could be more useful.

**Tasks:**
- Add newsletter signup in footer
- Add warning for external links
- Consider adding quick stats","low-priority,ux"
"Typography Refinements","Typography inconsistencies.

**Tasks:**
- Standardize heading sizes
- Increase body line-height
- Standardize padding/margin","low-priority,ux"
"Component Documentation","No component documentation.

**Tasks:**
- Add JSDoc comments
- Consider Storybook
- Document design system","low-priority,technical"
"ESLint Accessibility Plugin","No a11y linting.

**Tasks:**
- Install eslint-plugin-jsx-a11y
- Enable ARIA validation
- Fix Navigation labels","low-priority,technical,accessibility"
"Git Hooks Setup","No pre-commit validation.

**Tasks:**
- Setup Husky
- Add ESLint/Prettier check
- Add TypeScript checking","low-priority,technical"
"Gift Card System","No gift card functionality.

**Tasks:**
- Create $25/$50/$100 gift cards
- Implement redemption flow","low-priority,feature"
"Referral Program","No referral system.

**Tasks:**
- Refer a friend program
- Credit for both parties","low-priority,feature"
"Behind-the-Scenes Content","Promised content not complete.

**Tasks:**
- Complete xLights Masterclass
- Add Hardware Deep Dives
- Add Build Logs","low-priority,content"
"Social Media Integration","Limited social integration.

**Tasks:**
- Add sharing buttons on sequences
- Instagram shoppable posts
- YouTube Shorts for clips","low-priority,feature"
